gloss,video_id,split,signer_id,bbox,frame_start,frame_end,path,source,hand_rate
call,c999_call_020,val,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_020.mp4,custom,1.0
call,c999_call_019,val,999,"[0, 0, 640, 480]",1,76,D:\Compressed\archive_3\custom_videos\c999_call_019.mp4,custom,0.84375
call,c999_call_012,test,999,"[0, 0, 640, 480]",1,76,D:\Compressed\archive_3\custom_videos\c999_call_012.mp4,custom,0.9375
call,c999_call_008,test,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_008.mp4,custom,0.375
call,c999_call_003,train,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_003.mp4,custom,1.0
call,c999_call_017,train,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_017.mp4,custom,0.96875
call,c999_call_015,train,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_015.mp4,custom,0.625
call,c999_call_007,train,999,"[0, 0, 640, 480]",1,76,D:\Compressed\archive_3\custom_videos\c999_call_007.mp4,custom,0.90625
call,c999_call_001,train,999,"[0, 0, 640, 480]",1,42,D:\Compressed\archive_3\custom_videos\c999_call_001.mp4,custom,1.0
call,c999_call_018,train,999,"[0, 0, 640, 480]",1,76,D:\Compressed\archive_3\custom_videos\c999_call_018.mp4,custom,0.75
call,c999_call_009,train,999,"[0, 0, 640, 480]",1,76,D:\Compressed\archive_3\custom_videos\c999_call_009.mp4,custom,0.40625
call,c999_call_004,train,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_004.mp4,custom,1.0
call,c999_call_005,train,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_005.mp4,custom,0.53125
call,c999_call_006,train,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_006.mp4,custom,0.59375
call,c999_call_011,train,999,"[0, 0, 640, 480]",1,76,D:\Compressed\archive_3\custom_videos\c999_call_011.mp4,custom,0.21875
call,c999_call_002,train,999,"[0, 0, 640, 480]",1,76,D:\Compressed\archive_3\custom_videos\c999_call_002.mp4,custom,1.0
call,c999_call_013,train,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_013.mp4,custom,0.5625
call,c999_call_016,train,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_016.mp4,custom,0.90625
call,c999_call_010,train,999,"[0, 0, 640, 480]",1,76,D:\Compressed\archive_3\custom_videos\c999_call_010.mp4,custom,1.0
call,c999_call_014,train,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_call_014.mp4,custom,0.875
sad,c999_sad_002,val,999,"[0, 0, 640, 480]",1,42,D:\Compressed\archive_3\custom_videos\c999_sad_002.mp4,custom,0.78125
sad,c999_sad_005,val,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_sad_005.mp4,custom,0.53125
sad,c999_sad_007,test,999,"[0, 0, 640, 480]",1,77,D:\Compressed\archive_3\custom_videos\c999_sad_007.mp4,custom,0.90625
