gloss,video_id,split,signer_id,bbox,frame_start,frame_end,path,exists,hand_rate,source
drink,69302,val,115,"[551, 68, 1350, 1080]",1,-1,D:\Compressed\archive_3/videos/69302.mp4,True,0.6875,
drink,65539,train,94,"[153, 11, 488, 370]",1,-1,D:\Compressed\archive_3/videos/65539.mp4,True,0.40625,
drink,17710,train,36,"[196, 15, 521, 414]",1,-1,D:\Compressed\archive_3/videos/17710.mp4,True,0.5,
drink,17733,train,12,"[186, 63, 551, 400]",1,-1,D:\Compressed\archive_3/videos/17733.mp4,True,0.53125,
drink,65540,train,94,"[167, 19, 480, 370]",1,-1,D:\Compressed\archive_3/videos/65540.mp4,True,0.53125,
drink,17734,val,12,"[183, 55, 552, 400]",1,-1,D:\Compressed\archive_3/videos/17734.mp4,True,0.59375,
drink,17711,train,52,"[289, 9, 783, 480]",1,-1,D:\Compressed\archive_3/videos/17711.mp4,True,0.46875,
drink,17712,train,6,"[673, 90, 1571, 1072]",1,-1,D:\Compressed\archive_3/videos/17712.mp4,True,0.6875,
drink,17713,test,21,"[28, 0, 542, 480]",1,-1,D:\Compressed\archive_3/videos/17713.mp4,True,0.4375,
drink,17709,train,2,"[41, 9, 257, 240]",1,-1,D:\Compressed\archive_3/videos/17709.mp4,True,0.40625,
drink,17720,train,11,"[49, 3, 220, 192]",1,-1,D:\Compressed\archive_3/videos/17720.mp4,True,1.0,
drink,17721,train,10,"[66, 19, 209, 192]",1,-1,D:\Compressed\archive_3/videos/17721.mp4,True,1.0,
drink,17722,train,10,"[66, 19, 209, 192]",1,-1,D:\Compressed\archive_3/videos/17722.mp4,True,1.0,
drink,17723,train,10,"[65, 20, 208, 192]",1,-1,D:\Compressed\archive_3/videos/17723.mp4,True,1.0,
drink,17724,val,11,"[68, 18, 220, 192]",1,-1,D:\Compressed\archive_3/videos/17724.mp4,True,1.0,
computer,12328,train,11,"[56, 11, 240, 192]",1,-1,D:\Compressed\archive_3/videos/12328.mp4,True,1.0,
computer,12312,val,38,"[422, 50, 824, 720]",1,-1,D:\Compressed\archive_3/videos/12312.mp4,True,0.53125,
computer,12311,train,56,"[27, 0, 313, 240]",1,-1,D:\Compressed\archive_3/videos/12311.mp4,True,0.4375,
computer,12338,train,41,"[221, 42, 501, 400]",1,-1,D:\Compressed\archive_3/videos/12338.mp4,True,0.5625,
computer,12313,train,38,"[409, 51, 833, 720]",1,-1,D:\Compressed\archive_3/videos/12313.mp4,True,0.625,
computer,12314,train,4,"[257, 38, 1684, 1080]",1,-1,D:\Compressed\archive_3/videos/12314.mp4,True,0.84375,
computer,12315,val,4,"[436, 35, 1765, 1080]",1,-1,D:\Compressed\archive_3/videos/12315.mp4,True,0.9375,
computer,12316,train,4,"[412, 18, 1698, 1080]",1,-1,D:\Compressed\archive_3/videos/12316.mp4,True,0.8125,
computer,12317,train,4,"[473, 44, 1708, 1080]",1,-1,D:\Compressed\archive_3/videos/12317.mp4,True,0.90625,
computer,12318,train,4,"[365, 45, 1673, 1080]",1,-1,D:\Compressed\archive_3/videos/12318.mp4,True,0.84375,
computer,12319,train,45,"[494, 99, 1414, 1077]",1,-1,D:\Compressed\archive_3/videos/12319.mp4,True,0.6875,
computer,12320,test,59,"[74, 19, 565, 480]",1,-1,D:\Compressed\archive_3/videos/12320.mp4,True,0.5625,
computer,12326,val,11,"[69, 9, 214, 192]",1,-1,D:\Compressed\archive_3/videos/12326.mp4,True,1.0,
computer,12327,train,11,"[63, 0, 218, 192]",1,-1,D:\Compressed\archive_3/videos/12327.mp4,True,1.0,
go,69345,val,118,"[268, 38, 898, 720]",1,-1,D:\Compressed\archive_3/videos/69345.mp4,True,0.59375,
go,24955,train,10,"[79, 22, 201, 192]",1,-1,D:\Compressed\archive_3/videos/24955.mp4,True,1.0,
go,24956,train,10,"[81, 22, 199, 192]",1,-1,D:\Compressed\archive_3/videos/24956.mp4,True,1.0,
go,24941,train,36,"[187, 18, 526, 414]",1,-1,D:\Compressed\archive_3/videos/24941.mp4,True,0.46875,
go,24960,test,10,"[78, 25, 214, 192]",1,-1,D:\Compressed\archive_3/videos/24960.mp4,True,1.0,
go,24961,train,10,"[78, 25, 214, 192]",1,-1,D:\Compressed\archive_3/videos/24961.mp4,True,1.0,
go,24962,train,10,"[88, 25, 217, 192]",1,-1,D:\Compressed\archive_3/videos/24962.mp4,True,1.0,
go,65824,train,94,"[149, 9, 591, 370]",1,-1,D:\Compressed\archive_3/videos/65824.mp4,True,0.65625,
go,24973,train,41,"[229, 42, 573, 400]",1,-1,D:\Compressed\archive_3/videos/24973.mp4,True,0.34375,
go,24943,train,52,"[283, 19, 812, 480]",1,-1,D:\Compressed\archive_3/videos/24943.mp4,True,0.65625,
go,24946,val,31,"[607, 62, 1534, 1075]",1,-1,D:\Compressed\archive_3/videos/24946.mp4,True,0.78125,
go,24947,train,21,"[58, 2, 557, 480]",1,-1,D:\Compressed\archive_3/videos/24947.mp4,True,0.59375,
go,24940,train,0,"[37, 1, 284, 240]",1,-1,D:\Compressed\archive_3/videos/24940.mp4,True,0.40625,
go,24952,val,10,"[32, 14, 204, 192]",1,-1,D:\Compressed\archive_3/videos/24952.mp4,True,1.0,
go,24954,train,10,"[79, 22, 201, 192]",1,-1,D:\Compressed\archive_3/videos/24954.mp4,True,1.0,
who,69534,train,118,"[381, 45, 868, 720]",1,-1,D:\Compressed\archive_3/videos/69534.mp4,True,0.59375,
who,63242,train,12,"[188, 55, 546, 400]",1,-1,D:\Compressed\archive_3/videos/63242.mp4,True,0.375,
who,63226,test,36,"[235, 15, 526, 414]",1,-1,D:\Compressed\archive_3/videos/63226.mp4,True,0.375,
who,63227,train,6,"[687, 96, 1421, 1080]",1,-1,D:\Compressed\archive_3/videos/63227.mp4,True,0.75,
who,63228,train,6,"[693, 88, 1401, 1080]",1,-1,D:\Compressed\archive_3/videos/63228.mp4,True,0.8125,
who,63229,val,4,"[655, 72, 1505, 1071]",1,-1,D:\Compressed\archive_3/videos/63229.mp4,True,0.4375,
who,63230,val,46,"[342, 20, 1162, 1080]",1,-1,D:\Compressed\archive_3/videos/63230.mp4,True,0.46875,
who,63231,train,13,"[128, 8, 517, 480]",1,-1,D:\Compressed\archive_3/videos/63231.mp4,True,0.78125,
who,66778,train,88,"[165, 4, 472, 370]",1,-1,D:\Compressed\archive_3/videos/66778.mp4,True,0.59375,
who,63232,train,59,"[112, 28, 507, 480]",1,-1,D:\Compressed\archive_3/videos/63232.mp4,True,0.46875,
who,66779,train,88,"[167, 3, 471, 370]",1,-1,D:\Compressed\archive_3/videos/66779.mp4,True,0.53125,
who,63225,train,42,"[35, 0, 293, 240]",1,-1,D:\Compressed\archive_3/videos/63225.mp4,True,0.34375,
who,63236,train,11,"[81, 19, 207, 192]",1,-1,D:\Compressed\archive_3/videos/63236.mp4,True,1.0,
who,63237,val,11,"[82, 17, 212, 192]",1,-1,D:\Compressed\archive_3/videos/63237.mp4,True,1.0,
help,69364,val,115,"[605, 64, 1417, 1080]",1,-1,D:\Compressed\archive_3/videos/69364.mp4,True,0.71875,
help,27221,train,12,"[198, 56, 563, 400]",1,-1,D:\Compressed\archive_3/videos/27221.mp4,True,0.5,
help,27206,train,36,"[211, 16, 525, 414]",1,-1,D:\Compressed\archive_3/videos/27206.mp4,True,0.5625,
help,27207,train,4,"[665, 54, 1608, 1080]",1,-1,D:\Compressed\archive_3/videos/27207.mp4,True,0.8125,
help,27208,train,21,"[80, 14, 536, 480]",1,-1,D:\Compressed\archive_3/videos/27208.mp4,True,0.625,
help,27209,test,17,"[66, 20, 607, 480]",1,-1,D:\Compressed\archive_3/videos/27209.mp4,True,0.78125,
help,65890,train,90,"[182, 14, 465, 370]",1,-1,D:\Compressed\archive_3/videos/65890.mp4,True,0.53125,
help,27213,test,10,"[92, 24, 202, 192]",1,-1,D:\Compressed\archive_3/videos/27213.mp4,True,1.0,
help,27214,train,11,"[77, 3, 220, 192]",1,-1,D:\Compressed\archive_3/videos/27214.mp4,True,1.0,
help,65891,val,90,"[188, 14, 463, 370]",1,-1,D:\Compressed\archive_3/videos/65891.mp4,True,0.46875,
help,65889,train,90,"[188, 15, 469, 370]",1,-1,D:\Compressed\archive_3/videos/65889.mp4,True,0.4375,
help,27215,train,11,"[72, 14, 217, 192]",1,-1,D:\Compressed\archive_3/videos/27215.mp4,True,1.0,
help,27216,train,11,"[67, 5, 217, 192]",1,-1,D:\Compressed\archive_3/videos/27216.mp4,True,1.0,
